target_id	ens_gene	ext_gene	pval	qval	test_stat	rss	degrees_free	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	TPM_con1	TPM_con2	log2FC
ENSMUST00000035163.9	ENSMUSG00000033688	1300017J02Rik	3.61710171344635e-07	5.86764475515407e-05	25.8885400609995	60.6604602783719	1	2.25635642245182	6.74005114204133	0.0924959053825258	6.6475552366588	0.750754318668803	6.6475552366588	1.01370835195857	3.06568259749944	1.59656569391345
ENSMUST00000113602.1	ENSMUSG00000079476	1700011M02Rik	3.16809951328621e-05	0.00104506037757553	17.31420370197	28.2151060483036	1	1.2205311570656	3.13501178314484	0.0807905492032754	3.05422123394157	1.30588029827895	3.05422123394157	1.05348503429665	3.93437660385042	1.90096524142817
ENSMUST00000034846.6	ENSMUSG00000032300	1700017B05Rik	2.68252157283248e-07	4.93880996011318e-05	26.4657513157346	2.52390151333502	1	7.71650674502438	0.280433501481668	0.000793505579174749	0.279639995902494	0.0269605671157472	0.279639995902494	13.7975236714839	36.2652525276027	1.39417853426452
ENSMUST00000188702.1	ENSMUSG00000035085	1700020L24Rik	0.00152441918045732	0.0168001855330931	10.0488639823755	3.70388193003086	1	4.3092403193761	0.411542436670095	0.028015521561292	0.383526915108803	0.149529290726234	0.383526915108803	6.03672309378452	13.83520353487	1.19650633718531
ENSMUST00000037378.5	ENSMUSG00000035085	1700020L24Rik	0.00259584108572417	0.0247615862463994	9.07178109529844	2.01005430223891	1	5.2561373415007	0.223339366915435	0.0104065845633691	0.212932782352066	0.0778694271542655	0.212932782352066	7.67813193165877	15.3487707260646	0.999295860609532
ENSMUST00000020719.6	ENSMUSG00000020441	2310033P09Rik	0.0054510781739029	0.0419447116600052	7.72336235500361	0.657840981108569	1	6.56860173587369	0.0730934423453965	0.00163400761447464	0.0714594347309219	0.0394039722165061	0.0714594347309219	20.7752204361546	31.5988144232592	0.605006645152232
ENSMUST00000053336.7	ENSMUSG00000043391	2510009E07Rik	1.09958897482431e-05	0.00051321868572326	19.3301057241702	4.48596619787013	1	4.02131418301682	0.498440688652236	0.0226543691400174	0.475786319512219	0.186969710849286	0.475786319512219	1.21296182085526	1.82293409885018	0.587728266292833
ENSMUST00000231681.1	ENSMUSG00000049916	2610318N02Rik	0.004713602729857	0.0379172606601948	7.98616986291916	8.2676043987551	1	4.6499614497602	0.918622710972789	0.395718595395069	0.52290411557772	0.116147812983128	0.52290411557772	3.67515902769158	9.31080626676989	1.34109942487164
ENSMUST00000030261.5	ENSMUSG00000028536	2610528J11Rik	4.97671807874634e-06	0.000304719465516611	20.8462263629157	6.16710827045138	1	5.82420300728467	0.685234252272376	0.00728710563969806	0.677947146632678	0.0570371974674617	0.677947146632678	9.09435808930459	37.255242829611	2.03439975016997
ENSMUST00000106367.7	ENSMUSG00000028536	2610528J11Rik	0.00453058126535391	0.0369106060277065	8.05789412859709	10.0659598744399	1	3.87500453372781	1.11843998604888	0.289802019586908	0.828637966461971	0.210105851627798	0.828637966461971	3.05906199062428	8.55209720471278	1.48318890827946
