ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
MP:0001819	abnormal immune cell physiology	0.05317682	49.02903	140	2.855451	0.1518438	2.015603e-28	1.848307951e-24	1221	52.27558	138	2.639856	0.150655	0.1130221	2.572149e-26	1.1793303165e-22
MP:0002421	abnormal cell-mediated immunity	0.05343876	49.27054	139	2.821159	0.1507592	1.029247e-27	4.719097495e-24	1234	52.83216	137	2.593118	0.1495633	0.1110211	2.296986e-25	5.265840405e-22
MP:0002420	abnormal adaptive immunity	0.05439659	50.15365	140	2.791422	0.1518438	1.779273e-27	5.43864447e-24	1254	53.68843	138	2.570386	0.150655	0.1100478	3.519434e-25	6.454641956e-22
MP:0002442	abnormal leukocyte physiology	0.05274423	48.63018	137	2.817181	0.14859	2.986219e-27	6.8459070575e-24	1198	51.29086	135	2.632048	0.1473799	0.1126878	1.301744e-25	3.97899749333333e-22
MP:0001790	abnormal immune system physiology	0.09223447	85.04018	192	2.257756	0.208243	1.452136e-26	2.663217424e-23	1998	85.54186	190	2.221135	0.2074236	0.0950951	7.525439e-27	6.900827563e-23
MP:0012382	abnormal blood cell physiology	0.05677648	52.34792	140	2.674414	0.1518438	1.017191e-25	1.55460691166667e-22	1304	55.82912	138	2.471828	0.150655	0.1058282	1.507901e-23	2.30457536166667e-20
MP:0001545	abnormal hematopoietic system physiology	0.06069022	55.95638	143	2.555562	0.1550976	2.04452e-24	2.6783212e-21	1367	58.52638	141	2.40917	0.1539301	0.1031456	5.408849e-23	7.08559219e-20
MP:0001845	abnormal inflammatory response	0.04403694	40.60206	105	2.586076	0.1138829	2.50118e-18	2.54842451111111e-15	1008	43.15625	103	2.386676	0.1124454	0.1021825	1.373968e-16	1.14538968727273e-13
MP:0001793	altered susceptibility to infection	0.01915563	17.66149	63	3.567083	0.06832972	1.736437e-17	1.592312729e-14	500	21.40687	63	2.94298	0.06877729	0.126	1.474652e-14	9.01503922666667e-12
MP:0003945	abnormal lymphocyte physiology	0.03811199	35.13925	94	2.675071	0.1019523	2.216081e-17	1.84740570636364e-14	857	36.69138	94	2.56191	0.1026201	0.1096849	3.678444e-17	3.74792572e-14
MP:0002406	increased susceptibility to infection	0.01536875	14.16998	55	3.881444	0.05965293	6.244509e-17	4.40478057923077e-14	414	17.72489	55	3.102981	0.06004367	0.1328502	8.137136e-14	4.38926688941176e-11
MP:0002452	abnormal professional antigen presenting cell physiology	0.03697918	34.09481	91	2.669028	0.09869848	8.573728e-17	5.42012168133333e-14	831	35.57822	90	2.529638	0.09825328	0.1083032	4.009567e-16	3.06397744916667e-13
MP:0005025	abnormal response to infection	0.02097348	19.33754	65	3.361337	0.07049892	8.866066e-17	5.42012168133333e-14	537	22.99098	65	2.827196	0.0709607	0.1210428	3.781852e-14	2.1674739275e-11
MP:0002444	abnormal T cell physiology	0.02354442	21.70796	69	3.178558	0.07483731	1.525705e-16	8.74419678125e-14	524	22.4344	69	3.075634	0.07532751	0.1316794	7.820432e-17	7.171336144e-14
MP:0002723	abnormal immune serum protein physiology	0.03959178	36.50362	91	2.492903	0.09869848	4.652153e-15	2.50942605941176e-12	928	39.73115	90	2.265225	0.09825328	0.09698276	2.838866e-13	1.44624451222222e-10
MP:0002419	abnormal innate immunity	0.02535253	23.37504	67	2.866306	0.07266811	5.154093e-14	2.625724045e-11	539	23.07661	66	2.860039	0.0720524	0.122449	1.366753e-14	8.95223215e-12
MP:0003009	abnormal cytokine secretion	0.02340511	21.57951	63	2.919436	0.06832972	1.372907e-13	6.62608273157895e-11	557	23.84725	62	2.59988	0.06768559	0.1113106	6.023006e-12	2.90689289578947e-09
MP:0001876	decreased inflammatory response	0.008735165	8.053822	35	4.345763	0.03796095	1.373002e-12	6.29521417e-10	239	10.23248	35	3.420479	0.03820961	0.1464435	1.974882e-10	6.03655598e-08
MP:0002498	abnormal acute inflammation	0.01066926	9.837061	38	3.862942	0.04121475	4.754676e-12	1.98183540545455e-09	284	12.1591	37	3.042988	0.04039301	0.1302817	1.730599e-09	4.40822023055556e-07
MP:0020185	altered susceptibility to viral infection	0.005963006	5.497891	28	5.092862	0.03036876	6.721093e-12	2.56801761708333e-09	155	6.63613	28	4.219327	0.03056769	0.1806452	9.352788e-11	3.17648392444444e-08
MP:0001846	increased inflammatory response	0.03734642	34.4334	80	2.323326	0.0867679	7.480433e-12	2.7438228244e-09	822	35.1929	78	2.216356	0.08515284	0.09489051	3.55047e-11	1.41555695217391e-08
MP:0002462	abnormal granulocyte physiology	0.009499404	8.75845	35	3.996141	0.03796095	1.336595e-11	4.71406775e-09	224	9.590278	34	3.545257	0.0371179	0.1517857	1.34319e-10	4.2472594137931e-08
MP:0009785	altered susceptibility to infection induced morbidity/mortality	0.005903311	5.442853	27	4.960634	0.02928416	2.835392e-11	9.2859088e-09	161	6.893012	27	3.91701	0.02947598	0.1677019	1.13603e-09	3.06393973529412e-07
MP:0020201	abnormal granulocyte number	0.01761811	16.2439	47	2.893394	0.05097614	2.43749e-10	6.98493228125e-08	434	18.58116	47	2.529443	0.05131004	0.1082949	5.559922e-09	1.24352401804878e-06
MP:0020186	altered susceptibility to bacterial infection	0.01123091	10.3549	36	3.476615	0.03904555	2.913529e-10	8.09607906969697e-08	299	12.80131	36	2.812212	0.03930131	0.1204013	2.341349e-08	4.05097553396226e-06
MP:0002459	abnormal B cell physiology	0.02352389	21.68903	56	2.581951	0.06073753	3.016674e-10	8.13614722941176e-08	533	22.81972	56	2.454017	0.06113537	0.1050657	5.880189e-10	1.73939784290323e-07
MP:0002441	abnormal granulocyte morphology	0.01904646	17.56084	49	2.7903	0.05314534	3.321503e-10	8.70233786e-08	460	19.69432	49	2.488027	0.05349345	0.1065217	4.531391e-09	1.03882138675e-06
MP:0002490	abnormal immunoglobulin level	0.01809661	16.68507	47	2.816889	0.05097614	5.68175e-10	1.44726798611111e-07	445	19.05211	47	2.466918	0.05131004	0.105618	1.227395e-08	2.44678525e-06
