ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
MP:0005385	cardiovascular system phenotype	0.1332184	32.77173	120	3.661692	0.4878049	8.464165e-41	7.761639305e-37	2260	25.98551	120	4.617958	0.4878049	0.05309735	3.684556e-52	3.378737852e-48
MP:0005387	immune system phenotype	0.1392002	34.24325	121	3.533543	0.4918699	1.166645e-39	5.349067325e-36	2971	34.1606	121	3.542093	0.4918699	0.04072703	2.056072e-40	4.71354506e-37
MP:0001790	abnormal immune system physiology	0.09223447	22.68968	94	4.142853	0.3821138	1.455302e-34	4.44837311333333e-31	1998	22.97303	94	4.091754	0.3821138	0.04704705	9.435185e-35	1.31668362e-31
MP:0005397	hematopoietic system phenotype	0.1354514	33.32105	112	3.361239	0.4552846	5.149745e-34	1.18057904125e-30	2993	34.41355	112	3.254532	0.4552846	0.03742065	2.963425e-33	3.39682590625e-30
MP:0002127	abnormal cardiovascular system morphology	0.1014792	24.96388	97	3.885615	0.3943089	1.380762e-33	2.532317508e-30	1709	19.65011	97	4.93636	0.3943089	0.05675834	5.434007e-43	2.4914922095e-39
MP:0001614	abnormal blood vessel morphology	0.06231004	15.32827	77	5.023398	0.3130081	4.595397e-33	7.023298415e-30	1022	11.75097	77	6.552651	0.3130081	0.07534247	8.289064e-42	2.53369056266667e-38
MP:0000685	abnormal immune system morphology	0.09898627	24.35062	90	3.696004	0.3658537	3.258753e-29	4.26896643e-26	2117	24.34129	90	3.69742	0.3658537	0.04251299	1.011445e-29	6.18330043333333e-27
MP:0002396	abnormal hematopoietic system morphology/development	0.1189448	29.26042	98	3.349235	0.398374	7.728041e-29	8.85826699625e-26	2602	29.91783	98	3.275639	0.398374	0.03766334	1.572149e-28	7.58768754210526e-26
MP:0001544	abnormal cardiovascular system physiology	0.08375041	20.6026	81	3.931542	0.3292683	1.030081e-27	1.04953808555556e-24	1369	15.74078	81	5.145869	0.3292683	0.05916728	2.077054e-36	3.809317036e-33
MP:0013658	abnormal myeloid cell morphology	0.06756682	16.62144	72	4.331755	0.2926829	7.40769e-27	6.79285173e-24	1524	17.52297	72	4.108892	0.2926829	0.04724409	5.879674e-26	2.24652544083333e-23
