ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
MP:0002127	abnormal cardiovascular system morphology	0.1014792	25.57275	56	2.189831	0.2222222	1.627026e-08	0.000139426793333333	1709	20.12938	56	2.782004	0.2222222	0.0327677	1.501815e-12	6.885821775e-09
MP:0005385	cardiovascular system phenotype	0.1332184	33.57104	64	1.906405	0.2539683	2.117408e-07	0.000485415784	2260	26.6193	64	2.40427	0.2539683	0.02831858	1.632399e-11	4.98969961e-08
MP:0005378	growth/size/body region phenotype	0.213765	53.86879	88	1.633599	0.3492063	5.31587e-07	0.000974930558	3564	41.97841	88	2.096316	0.3492063	0.02469136	1.233061e-12	6.885821775e-09
MP:0005380	embryo phenotype	0.0870319	21.93204	46	2.097388	0.1825397	1.351057e-06	0.00206486544833333	1543	18.17415	46	2.531067	0.1825397	0.02981205	4.531807e-09	1.03891675475e-05
MP:0000685	abnormal immune system morphology	0.09898627	24.94454	50	2.004447	0.1984127	1.581341e-06	0.00207155671	2117	24.93498	50	2.005215	0.1984127	0.02361833	1.325079e-06	0.000994619112307692
MP:0000266	abnormal heart morphology	0.07594065	19.13704	39	2.037932	0.1547619	1.875853e-05	0.0156377927363636	1234	14.53461	39	2.68325	0.1547619	0.03160454	1.73065e-08	2.2671515e-05
MP:0003231	abnormal placenta vasculature	0.005156682	1.299484	8	6.156291	0.03174603	5.924975e-05	0.0417938621153846	111	1.307408	8	6.118976	0.03174603	0.07207207	5.149235e-05	0.01358359436
MP:0010025	decreased total body fat amount	0.01664389	4.194261	14	3.337894	0.05555556	0.0001034021	0.0639393533333333	351	4.134237	14	3.386356	0.05555556	0.03988604	7.790293e-05	0.0146581813714286
MP:0008803	abnormal placental labyrinth vasculature morphology	0.00288053	0.7258935	6	8.265676	0.02380952	0.00010459	0.0639393533333333	75	0.883384	6	6.792063	0.02380952	0.08	0.0002568469	0.0314038143066667
MP:0008944	decreased sensitivity to induced cell death	0.00296529	0.747253	6	8.029409	0.02380952	0.0001222878	0.070086195375	77	0.9069409	6	6.615646	0.02380952	0.07792208	0.0002965693	0.035201436164557
MP:0020151	abnormal circulating non-HDL cholesterol level	0.005921453	1.492206	8	5.36119	0.03174603	0.0001520416	0.074597033	129	1.51942	8	5.265165	0.03174603	0.0620155	0.0001482679	0.0230443498813559
MP:0005370	liver/biliary system phenotype	0.05346923	13.47425	28	2.078038	0.1111111	0.0002291277	0.0981624810833333	1079	12.70895	28	2.203172	0.1111111	0.02594995	7.821953e-05	0.0146581813714286
MP:0002447	abnormal erythrocyte morphology	0.03231683	8.143841	20	2.455844	0.07936508	0.0002386603	0.0981624810833333	712	8.386258	20	2.384854	0.07936508	0.02808989	0.0003148036	0.0360693003658537
MP:0001614	abnormal blood vessel morphology	0.06231004	15.70213	31	1.974254	0.1230159	0.0002548642	0.0981624810833333	1022	12.03758	31	2.575269	0.1230159	0.03033268	1.410038e-06	0.000994619112307692
MP:0000313	abnormal cell death	0.05948529	14.99029	30	2.001295	0.1190476	0.0002569138	0.0981624810833333	1134	13.35677	30	2.246053	0.1190476	0.02645503	2.99601e-05	0.00905103256129032
MP:0003049	abnormal lumbar vertebrae morphology	0.006792245	1.711646	8	4.673864	0.03174603	0.0003782299	0.1231890464	155	1.82566	8	4.381976	0.03174603	0.0516129	0.0005150826	0.0433330957981651
MP:0003959	abnormal lean body mass	0.01937054	4.881377	14	2.868043	0.05555556	0.0004738611	0.131675948090909	372	4.381584	14	3.195191	0.05555556	0.03763441	0.0001434383	0.0230443498813559
MP:0002138	abnormal hepatobiliary system morphology	0.04788765	12.06769	25	2.071648	0.09920635	0.0005238628	0.132463777205128	959	11.29554	25	2.213264	0.09920635	0.02606882	0.0001793411	0.0265251272096774
MP:0005508	abnormal skeleton morphology	0.1079763	27.21002	45	1.653803	0.1785714	0.0005301441	0.132463777205128	1832	21.57813	45	2.085445	0.1785714	0.02456332	1.776256e-06	0.00108588450133333
MP:0002084	abnormal developmental patterning	0.0268209	6.758866	17	2.515215	0.06746032	0.0005362008	0.132463777205128	401	4.72316	17	3.599286	0.06746032	0.04239401	6.054252e-06	0.00292197320210526
MP:0001716	abnormal placenta labyrinth morphology	0.007211583	1.817319	8	4.402089	0.03174603	0.0005584815	0.132463777205128	152	1.790325	8	4.468463	0.03174603	0.05263158	0.0004523232	0.041324141960396
MP:0014134	abnormal embryo morphology	0.06885696	17.35196	32	1.844173	0.1269841	0.0006500393	0.138624660023256	1171	13.79257	32	2.32009	0.1269841	0.02732707	8.309196e-06	0.00346342396909091
MP:0001672	abnormal embryo development	0.04917772	12.39279	25	2.017303	0.09920635	0.0007638426	0.152270361782609	873	10.28259	25	2.431294	0.09920635	0.02863688	4.082029e-05	0.0113430927060606
MP:0000003	abnormal adipose tissue morphology	0.04677368	11.78697	24	2.036147	0.0952381	0.0008585885	0.16032180598	835	9.835008	24	2.440262	0.0952381	0.02874251	5.52725e-05	0.013837406205
MP:0002085	abnormal embryonic tissue morphology	0.05309141	13.37904	26	1.943339	0.1031746	0.001024983	0.169489887118644	843	9.929236	26	2.61853	0.1031746	0.03084223	7.918649e-06	0.00345781006333333
MP:0012555	decreased cell death	0.00988498	2.491015	9	3.612985	0.03571429	0.001031347	0.169489887118644	180	2.120122	9	4.24504	0.03571429	0.05	0.0002941724	0.035201436164557
MP:0005375	adipose tissue phenotype	0.04753316	11.97836	24	2.003614	0.0952381	0.001067058	0.169489887118644	854	10.0588	24	2.385971	0.0952381	0.02810304	7.832616e-05	0.0146581813714286
MP:0004110	transposition of great arteries	0.003000731	0.7561842	5	6.612146	0.01984127	0.001072777	0.169489887118644	42	0.494695	5	10.10724	0.01984127	0.1190476	0.0001298305	0.0216462851818182
MP:0004180	failure of initiation of embryo turning	0.00301195	0.7590114	5	6.587517	0.01984127	0.001090502	0.169489887118644	48	0.5653657	5	8.843833	0.01984127	0.1041667	0.0002467461	0.0309880075135135
