ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
MP:0002080	prenatal lethality	0.1049329	23.2951	54	2.318084	0.2432432	3.266845e-09	2.995696865e-05	2000	20.75251	54	2.602095	0.2432432	0.027	3.728467e-11	1.35882320875e-07
MP:0008762	embryonic lethality	0.07861521	17.45258	44	2.521118	0.1981982	1.198644e-08	5.49578274e-05	1537	15.94831	44	2.758914	0.1981982	0.0286272	6.080051e-10	9.29234461166667e-07
MP:0005380	embryo phenotype	0.0870319	19.32108	46	2.380819	0.2072072	2.925854e-08	8.94336039333333e-05	1543	16.01056	46	2.873103	0.2072072	0.02981205	5.927255e-11	1.35882320875e-07
MP:0012097	abnormal spongiotrophoblast size	0.0009781254	0.2171438	6	27.63145	0.02702703	1.135094e-07	0.0002119216344	26	0.2697827	6	22.24012	0.02702703	0.2307692	2.257937e-07	0.0001390916604
MP:0004196	abnormal prenatal growth/weight/body size	0.05609617	12.45335	34	2.730189	0.1531532	1.155516e-07	0.0002119216344	991	10.28287	34	3.30647	0.1531532	0.03430878	8.198286e-10	1.073975466e-06
MP:0012099	decreased spongiotrophoblast size	0.0005762445	0.1279263	5	39.08501	0.02252252	2.458796e-07	0.000375785988666667	18	0.1867726	5	26.77052	0.02252252	0.2777778	8.825016e-07	0.000367842712363636
MP:0002086	abnormal extraembryonic tissue morphology	0.03484147	7.734807	25	3.232143	0.1126126	3.2594e-07	0.000424184943	603	6.256882	25	3.9956	0.1126126	0.04145937	4.377206e-09	4.45988655777778e-06
MP:0005031	abnormal trophoblast layer morphology	0.006611483	1.467749	11	7.494468	0.04954955	3.700632e-07	0.000424184943	140	1.452676	11	7.572233	0.04954955	0.07857143	2.461513e-07	0.0001410754638125
MP:0014134	abnormal embryo morphology	0.06885696	15.28625	37	2.420477	0.1666667	5.721667e-07	0.0005685945615	1171	12.1506	37	3.045118	0.1666667	0.03159693	1.287407e-09	1.47569027375e-06
MP:0010770	preweaning lethality	0.2047155	45.44684	77	1.694287	0.3468468	6.200595e-07	0.0005685945615	3574	37.08474	77	2.076326	0.3468468	0.02154449	5.168172e-11	1.35882320875e-07
MP:0001711	abnormal placenta morphology	0.01593738	3.538098	16	4.522204	0.07207207	7.505428e-07	0.000625679770545455	311	3.227016	16	4.958141	0.07207207	0.05144695	1.75027e-07	0.000123461353076923
MP:0005033	abnormal trophoblast giant cell morphology	0.00331268	0.7354149	8	10.87821	0.03603604	9.962744e-07	0.000736108347692308	81	0.8404767	8	9.518407	0.03603604	0.09876543	1.987863e-06	0.00075952932125
MP:0012057	abnormal mural trophectoderm morphology	0.003333583	0.7400554	8	10.81	0.03603604	1.043556e-06	0.000736108347692308	82	0.850853	8	9.402329	0.03603604	0.09756098	2.183285e-06	0.000800828938
MP:0005378	growth/size/body region phenotype	0.213765	47.45584	78	1.643633	0.3513514	1.72e-06	0.00105149333333333	3564	36.98098	78	2.109193	0.3513514	0.02188552	1.631401e-11	1.35882320875e-07
MP:0010866	abnormal prenatal body size	0.04170248	9.25795	26	2.808397	0.1171171	2.498118e-06	0.00143173387875	748	7.76144	26	3.349894	0.1171171	0.03475936	7.483439e-08	5.71859463583333e-05
MP:0010038	abnormal placenta physiology	0.008705948	1.932721	11	5.691459	0.04954955	5.103085e-06	0.00275266408529412	148	1.535686	11	7.162923	0.04954955	0.07432432	4.314342e-07	0.0001978125807
MP:0004255	abnormal spongiotrophoblast layer morphology	0.002961959	0.6575549	7	10.6455	0.03153153	5.500461e-06	0.00280217929833333	59	0.6121991	7	11.43419	0.03153153	0.1186441	2.542016e-06	0.000896549489230769
MP:0011203	abnormal parietal yolk sac morphology	0.005643912	1.252949	9	7.183056	0.04054054	6.052599e-06	0.00292117541210526	132	1.369666	9	6.570946	0.04054054	0.06818182	9.970405e-06	0.00277056405606061
MP:0008957	abnormal placenta junctional zone morphology	0.003034951	0.6737592	7	10.38947	0.03153153	6.434057e-06	0.0029500151345	64	0.6640804	7	10.54089	0.03153153	0.109375	4.429985e-06	0.0014508200875
MP:0002085	abnormal embryonic tissue morphology	0.05309141	11.78629	29	2.460485	0.1306306	8.125683e-06	0.00354821491	843	8.747184	29	3.315353	0.1306306	0.03440095	1.549553e-08	1.29176372818182e-05
