regulatoryGene	targetGene	weight	extRegulatoryGene	extTargetGene
ENSMUSG00000031565	ENSMUSG00000025967	0.133771849395664	Fgfr1	Eef1b2
ENSMUSG00000031565	ENSMUSG00000032363	0.13350765888186	Fgfr1	Adamts7
ENSMUSG00000031565	ENSMUSG00000040296	0.130352539561753	Fgfr1	Ddx58
ENSMUSG00000031565	ENSMUSG00000078795	0.119861640412799	Fgfr1	Ceacam15
ENSMUSG00000031565	ENSMUSG00000030022	0.114024028786785	Fgfr1	Adamts9
ENSMUSG00000031565	ENSMUSG00000114635	0.113046778793219	Fgfr1	Gm49392
ENSMUSG00000031565	ENSMUSG00000090733	0.103039837385146	Fgfr1	Rps27
ENSMUSG00000031565	ENSMUSG00000063952	0.101808831219968	Fgfr1	Brpf3
ENSMUSG00000001156	ENSMUSG00000060036	0.0991542555868718	Mxd1	Rpl3
ENSMUSG00000031939	ENSMUSG00000056071	0.0963733875637601	Taf1d	S100a9
ENSMUSG00000022831	ENSMUSG00000060036	0.0962866402373073	Hcls1	Rpl3
ENSMUSG00000079658	ENSMUSG00000027398	0.0962096564461688	Eloc	Il1b
ENSMUSG00000063972	ENSMUSG00000028010	0.0948859428909419	Nr6a1	Gar1
ENSMUSG00000063972	ENSMUSG00000025467	0.0934781167945909	Nr6a1	Prap1
ENSMUSG00000006715	ENSMUSG00000056071	0.0925634631160124	Gmnn	S100a9
ENSMUSG00000063972	ENSMUSG00000026981	0.0925526541261086	Nr6a1	Il1rn
ENSMUSG00000020923	ENSMUSG00000025467	0.0924303572814124	Ubtf	Prap1
ENSMUSG00000031565	ENSMUSG00000021440	0.0923305733411859	Fgfr1	Cts7
ENSMUSG00000079658	ENSMUSG00000056071	0.0918656074715552	Eloc	S100a9
ENSMUSG00000079658	ENSMUSG00000025467	0.0915289121639229	Eloc	Prap1
ENSMUSG00000048897	ENSMUSG00000018259	0.0900537365241422	Zfp710	Prl8a2
ENSMUSG00000031939	ENSMUSG00000027398	0.0900363715186416	Taf1d	Il1b
ENSMUSG00000031565	ENSMUSG00000020701	0.0897693722955101	Fgfr1	Tmem132e
ENSMUSG00000056071	ENSMUSG00000027398	0.0893534007289563	S100a9	Il1b
ENSMUSG00000031565	ENSMUSG00000052305	0.089195654003909	Fgfr1	Hbb-bs
ENSMUSG00000006715	ENSMUSG00000033213	0.0890685507376251	Gmnn	AA467197
ENSMUSG00000042354	ENSMUSG00000056071	0.0887445493164749	Gnl3	S100a9
ENSMUSG00000022255	ENSMUSG00000027398	0.0886067831233225	Mtdh	Il1b
ENSMUSG00000063972	ENSMUSG00000056071	0.0885380703143178	Nr6a1	S100a9
ENSMUSG00000020923	ENSMUSG00000018259	0.0878896624028158	Ubtf	Prl8a2
ENSMUSG00000054766	ENSMUSG00000026981	0.087624352353601	Set	Il1rn
ENSMUSG00000042354	ENSMUSG00000027398	0.0875526030237429	Gnl3	Il1b
ENSMUSG00000022255	ENSMUSG00000056071	0.0874864453141531	Mtdh	S100a9
ENSMUSG00000031565	ENSMUSG00000064039	0.0867184867282219	Fgfr1	Ccr1l1
ENSMUSG00000048897	ENSMUSG00000073422	0.0864636404496114	Zfp710	H2-Ke6
ENSMUSG00000010376	ENSMUSG00000031565	0.0858955144226444	Nedd8	Fgfr1
ENSMUSG00000031565	ENSMUSG00000042306	0.0858751412821772	Fgfr1	S100a14
ENSMUSG00000079658	ENSMUSG00000026981	0.0858110289894903	Eloc	Il1rn
ENSMUSG00000001156	ENSMUSG00000033355	0.0855097082938366	Mxd1	Rtp4
ENSMUSG00000006715	ENSMUSG00000026981	0.0853486853287617	Gmnn	Il1rn
ENSMUSG00000022255	ENSMUSG00000051439	0.0848731500291075	Mtdh	Cd14
ENSMUSG00000006715	ENSMUSG00000027398	0.0847731752680552	Gmnn	Il1b
