target_id	length	eff_length	est_counts	tpm
ENSMUST00000000365.2	783	584	699.53	35.2394
ENSMUST00000000834.3	1937	1738	1887	31.9417
ENSMUST00000001046.6	498	299	152.569	15.0117
ENSMUST00000000939.14	6735	6536	5272.41	23.7319
ENSMUST00000000696.6	514	315	124	11.581
ENSMUST00000000642.10	5513	5314	9773.38	54.1077
ENSMUST00000001920.12	3117	2918	2230.42	22.4872
ENSMUST00000001080.15	2367	2168	2770.86	37.6002
ENSMUST00000001081.9	1946	1747	749.645	12.624
ENSMUST00000001184.9	4666	4467	914.613	6.02361
ENSMUST00000002064.14	1160	961	2055.84	62.9364
ENSMUST00000002368.15	2401	2202	1323.97	17.6887
ENSMUST00000003575.10	2158	1959	22302.6	334.932
ENSMUST00000003445.7	734	535	1845.77	101.498
ENSMUST00000003635.6	1131	932	1868	58.9653
ENSMUST00000003183.11	2072	1873	3234.42	50.8035
ENSMUST00000002640.5	2995	2796	7723.47	81.2664
ENSMUST00000002320.15	3277	3078	11206.2	107.109
ENSMUST00000002397.6	1993	1794	237.783	3.89936
ENSMUST00000001984.4	1396	1197	50990	1253.22
ENSMUST00000002902.7	1316	1117	1262.43	33.2497
ENSMUST00000009392.5	1605	1406	7492	156.765
ENSMUST00000007738.10	3648	3449	765.5	6.52961
ENSMUST00000004657.13	2105	1906	1019.52	15.7365
ENSMUST00000004565.14	2289	2090	6183.62	87.0426
ENSMUST00000003964.16	3678	3479	5443.4	46.0311
ENSMUST00000009728.12	819	620	1332.67	63.2364
ENSMUST00000006898.9	1127	928	1599.42	50.7048
ENSMUST00000005532.8	6091	5892	25332.6	126.489
ENSMUST00000008537.9	2858	2659	7830	86.6321
ENSMUST00000006662.3	942	743	11834	468.574
ENSMUST00000006311.12	3076	2877	2062.91	21.0948
ENSMUST00000009789.14	4043	3844	1053.79	8.06506
ENSMUST00000004050.6	2677	2478	1356.65	16.1065
ENSMUST00000006611.8	1338	1139	9140.66	236.096
ENSMUST00000007253.5	2474	2275	7840.26	101.388
ENSMUST00000006367.7	2041	1842	2446.26	39.0704
ENSMUST00000005810.8	2085	1886	4627.42	72.1827
ENSMUST00000006286.8	2679	2480	433.681	5.14463
ENSMUST00000005548.7	1569	1370	19814	425.487
ENSMUST00000006301.10	2473	2274	2495.16	32.2808
ENSMUST00000008542.11	4212	4013	1616.03	11.8472
