target_id	length	eff_length	est_counts	tpm
ENSMUST00000000365.2	783	584	668.16	33.0577
ENSMUST00000000834.3	1937	1738	2763	45.9342
ENSMUST00000001046.6	498	299	193.093	18.6595
ENSMUST00000000939.14	6735	6536	6641.98	29.3623
ENSMUST00000000696.6	514	315	92	8.43883
ENSMUST00000000642.10	5513	5314	13669.7	74.3264
ENSMUST00000001920.12	3117	2918	2419.59	23.9586
ENSMUST00000001080.15	2367	2168	3689.77	49.1751
ENSMUST00000001081.9	1946	1747	912.846	15.0976
ENSMUST00000001184.9	4666	4467	1044.78	6.75792
ENSMUST00000002064.14	1160	961	2199.93	66.1439
ENSMUST00000002368.15	2401	2202	693.168	9.09549
ENSMUST00000003575.10	2158	1959	42572.3	627.911
ENSMUST00000003445.7	734	535	1821.02	98.348
ENSMUST00000003635.6	1131	932	2780	86.1854
ENSMUST00000003183.11	2072	1873	3660.55	56.4694
ENSMUST00000002640.5	2995	2796	12906.4	133.375
ENSMUST00000002320.15	3277	3078	15803.4	148.349
ENSMUST00000002397.6	1993	1794	286.286	4.61086
ENSMUST00000001984.4	1396	1197	61330	1480.42
ENSMUST00000002902.7	1316	1117	1138.67	29.4544
ENSMUST00000009392.5	1605	1406	12576	258.441
ENSMUST00000007738.10	3648	3449	1176.44	9.85552
ENSMUST00000004657.13	2105	1906	1624.1	24.6204
ENSMUST00000004565.14	2289	2090	6981.73	96.521
ENSMUST00000003964.16	3678	3479	5765.24	47.8815
ENSMUST00000009728.12	819	620	1449.63	67.5569
ENSMUST00000006898.9	1127	928	1280.4	39.866
ENSMUST00000005532.8	6091	5892	47685.1	233.843
ENSMUST00000008537.9	2858	2659	8656	94.0597
ENSMUST00000006662.3	942	743	8901	346.142
ENSMUST00000006311.12	3076	2877	2668.16	26.7964
ENSMUST00000009789.14	4043	3844	1304.61	9.80625
ENSMUST00000004050.6	2677	2478	1702.17	19.8475
ENSMUST00000006611.8	1338	1139	10591.4	268.679
ENSMUST00000007253.5	2474	2275	8775.47	111.453
ENSMUST00000006367.7	2041	1842	1853.01	29.0665
ENSMUST00000005810.8	2085	1886	4882.83	74.8057
ENSMUST00000006286.8	2679	2480	754.142	8.78631
ENSMUST00000005548.7	1569	1370	41785.7	881.276
