target_id	length	eff_length	est_counts	tpm
ENSMUST00000000804.6	4692	4493	20734.1	268.55
ENSMUST00000001279.14	2167	1968	560.146	16.5635
ENSMUST00000001258.14	3586	3387	4029.26	69.2289
ENSMUST00000003397.8	1706	1507	1140.32	44.0343
ENSMUST00000003404.8	3511	3312	353.193	6.20581
ENSMUST00000003318.12	2519	2320	452.656	11.3542
ENSMUST00000001975.5	4344	4145	1219.16	17.1164
ENSMUST00000005503.4	4251	4052	2251.49	32.3354
ENSMUST00000008016.2	1278	1079	611.567	32.9837
ENSMUST00000008748.7	3330	3131	1855.9	34.4944
ENSMUST00000004428.13	8390	8191	2095.93	14.8907
ENSMUST00000004202.16	5367	5168	3247.53	36.5685
ENSMUST00000006716.7	2071	1872	242.335	7.53335
ENSMUST00000005003.11	3510	3311	2543.32	44.7012
ENSMUST00000009321.10	4320	4121	4541.06	64.1257
ENSMUST00000008991.7	8299	8100	2233.79	16.0485
ENSMUST00000004987.16	2007	1808	1576.68	50.7482
ENSMUST00000006692.5	1756	1557	619	23.1355
ENSMUST00000020358.11	2827	2628	1350.18	29.898
ENSMUST00000020381.4	6420	6221	1428.83	13.3658
ENSMUST00000020695.12	7483	7284	1317.1	10.5226
ENSMUST00000021077.3	1925	1726	3284	110.723
ENSMUST00000020931.5	5603	5404	2425.78	26.1224
ENSMUST00000019405.3	3314	3115	1240.4	23.1729
ENSMUST00000020174.6	2502	2303	958.965	24.2318
ENSMUST00000016901.4	3774	3575	6638.76	108.066
ENSMUST00000017622.11	3810	3611	1443.69	23.2662
ENSMUST00000018716.9	2006	1807	732.61	23.5935
ENSMUST00000020769.13	1638	1439	118.129	4.7772
ENSMUST00000016670.8	3164	2965	259.63	5.09574
ENSMUST00000019482.7	4632	4433	2046.03	26.859
ENSMUST00000018449.10	7442	7243	4691.06	37.6903
ENSMUST00000020298.7	789	590	272.944	26.9214
ENSMUST00000013130.14	3046	2847	668.031	13.6548
ENSMUST00000015893.12	1381	1182	284.193	13.9918
ENSMUST00000017751.2	4755	4556	694.864	8.8755
ENSMUST00000026446.3	763	564	478.844	49.4074
ENSMUST00000024699.3	1622	1423	1944.52	79.5214
ENSMUST00000026264.11	2005	1806	854.743	27.5419
ENSMUST00000023069.8	2518	2319	355.46	8.92004
ENSMUST00000024599.13	8887	8688	9654.96	64.6707
ENSMUST00000021670.14	7003	6804	905.153	7.74167
ENSMUST00000022964.8	1613	1414	170.951	7.03556
ENSMUST00000026221.6	5455	5256	9128.53	101.07
ENSMUST00000025228.11	2084	1885	314.707	9.71564
ENSMUST00000023559.6	2981	2782	511	10.6891
ENSMUST00000026292.14	14579	14380	4875.29	19.7296
ENSMUST00000023572.14	5742	5543	627.845	6.59151
ENSMUST00000027768.13	8506	8307	6788.77	47.558
ENSMUST00000027202.8	4939	4740	1179.85	14.4853
ENSMUST00000021282.11	6373	6174	2634.55	24.8323
ENSMUST00000026989.14	2727	2528	977.049	22.4914
