target_id	length	eff_length	est_counts	tpm
ENSMUST00000000804.6	4692	4493	28328.3	267.646
ENSMUST00000001279.14	2167	1968	687.796	14.8358
ENSMUST00000001258.14	3586	3387	4188.6	52.4963
ENSMUST00000003397.8	1706	1507	1196.16	33.6939
ENSMUST00000003404.8	3511	3312	329.844	4.2276
ENSMUST00000003318.12	2519	2320	532.233	9.73844
ENSMUST00000001975.5	4344	4145	812.105	8.31693
ENSMUST00000005503.4	4251	4052	2979.82	31.2173
ENSMUST00000008016.2	1278	1079	376.971	14.8307
ENSMUST00000008748.7	3330	3131	2216.45	30.0504
ENSMUST00000004428.13	8390	8191	1992.37	10.3255
ENSMUST00000004202.16	5367	5168	3572.26	29.3425
ENSMUST00000006716.7	2071	1872	256.973	5.82717
ENSMUST00000005003.11	3510	3311	2380.26	30.5169
ENSMUST00000009321.10	4320	4121	6842.55	70.4841
ENSMUST00000008991.7	8299	8100	2737.94	14.3488
ENSMUST00000004987.16	2007	1808	1886.71	44.2978
ENSMUST00000006692.5	1756	1557	773.957	21.101
ENSMUST00000020358.11	2827	2628	1663.93	26.8773
ENSMUST00000020381.4	6420	6221	1609.75	10.9844
ENSMUST00000020695.12	7483	7284	1440.12	8.39277
ENSMUST00000021077.3	1925	1726	4128	101.525
ENSMUST00000020931.5	5603	5404	2980.51	23.4127
ENSMUST00000019405.3	3314	3115	1983.21	27.0263
ENSMUST00000020174.6	2502	2303	871.797	16.0693
ENSMUST00000016901.4	3774	3575	7997.37	94.9614
ENSMUST00000017622.11	3810	3611	2523.51	29.6656
ENSMUST00000018716.9	2006	1807	1222.94	28.7291
ENSMUST00000020769.13	1638	1439	452.998	13.3632
ENSMUST00000016670.8	3164	2965	361.585	5.1768
ENSMUST00000019482.7	4632	4433	2744.29	26.279
ENSMUST00000018449.10	7442	7243	5854.45	34.3118
ENSMUST00000020298.7	789	590	180.584	12.9928
ENSMUST00000013130.14	3046	2847	995.199	14.8388
ENSMUST00000015893.12	1381	1182	596.619	21.4267
ENSMUST00000017751.2	4755	4556	2232.45	20.8005
ENSMUST00000026446.3	763	564	647.657	48.7463
ENSMUST00000024699.3	1622	1423	1192.04	35.56
ENSMUST00000026264.11	2005	1806	1231.08	28.9365
ENSMUST00000023069.8	2518	2319	562.061	10.2886
ENSMUST00000024599.13	8887	8688	10821	52.8717
ENSMUST00000021670.14	7003	6804	1035.43	6.45999
ENSMUST00000022964.8	1613	1414	245.967	7.38419
ENSMUST00000026221.6	5455	5256	9408.62	75.9882
ENSMUST00000025228.11	2084	1885	548.892	12.3609
ENSMUST00000023559.6	2981	2782	480	7.32419
ENSMUST00000026292.14	14579	14380	6474.16	19.1118
ENSMUST00000023572.14	5742	5543	557.28	4.2678
ENSMUST00000027768.13	8506	8307	9564.84	48.8775
ENSMUST00000027202.8	4939	4740	1390.39	12.4518
ENSMUST00000021282.11	6373	6174	3069.34	21.1035
ENSMUST00000026989.14	2727	2528	1120.22	18.8105
ENSMUST00000026886.7	7900	7701	940.267	5.18298
ENSMUST00000027777.11	3873	3674	5289.36	61.1139
ENSMUST00000027752.14	7622	7423	13166	75.292
ENSMUST00000021922.9	2453	2254	191.415	3.60493
ENSMUST00000023015.14	3365	3166	415.3	5.56836
ENSMUST00000027980.7	3494	3295	1748.25	22.5229
ENSMUST00000025236.8	5097	4898	1024.71	8.88088
ENSMUST00000025778.8	3767	3568	1748.43	20.8017
ENSMUST00000025163.13	807	608	1470.43	102.664
ENSMUST00000025965.11	5868	5669	3810.67	28.5345
ENSMUST00000028232.6	3741	3542	1333.08	15.9765
ENSMUST00000021592.15	2957	2758	559.166	8.60641
ENSMUST00000025101.9	1354	1155	110	4.04284
ENSMUST00000036113.3	6986	6787	2121.37	13.2682
ENSMUST00000038769.2	480	281	256	38.6731
ENSMUST00000028663.4	2603	2404	238	4.2026
ENSMUST00000043493.6	7667	7468	2190.16	12.4494
