target_id	length	eff_length	est_counts	tpm
ENSMUST00000000365.2	783	584	258.081	35.602
ENSMUST00000000834.3	1937	1738	1194	55.3459
ENSMUST00000001046.6	498	299	30.3543	8.17862
ENSMUST00000000939.14	6735	6536	2627.52	32.3866
ENSMUST00000000696.6	514	315	27	6.90533
ENSMUST00000000642.10	5513	5314	4986.67	75.5997
ENSMUST00000001920.12	3117	2918	1018.86	28.1293
ENSMUST00000001080.15	2367	2168	1219.68	45.3229
ENSMUST00000001081.9	1946	1747	341.898	15.7665
ENSMUST00000001184.9	4666	4467	349.84	6.30934
ENSMUST00000002064.14	1160	961	725.07	60.7837
ENSMUST00000002368.15	2401	2202	234.841	8.59187
ENSMUST00000003575.10	2158	1959	15527	638.535
ENSMUST00000003445.7	734	535	626.69	94.3692
ENSMUST00000003635.6	1131	932	942	81.4265
ENSMUST00000003183.11	2072	1873	1169.44	50.3002
ENSMUST00000002640.5	2995	2796	5844.78	168.408
ENSMUST00000002320.15	3277	3078	6555.35	171.577
ENSMUST00000002397.6	1993	1794	136.87	6.14635
ENSMUST00000001984.4	1396	1197	50444	3395.05
ENSMUST00000002902.7	1316	1117	371.897	26.8226
ENSMUST00000009392.5	1605	1406	3847	220.429
ENSMUST00000007738.10	3648	3449	531	12.4032
ENSMUST00000004657.13	2105	1906	836.667	35.3639
ENSMUST00000004565.14	2289	2090	2531.59	97.5838
ENSMUST00000003964.16	3678	3479	2354.27	54.5171
ENSMUST00000009728.12	819	620	517.668	67.2652
ENSMUST00000006898.9	1127	928	469.707	40.7765
ENSMUST00000005532.8	6091	5892	24640	336.906
ENSMUST00000008537.9	2858	2659	3216	97.4381
ENSMUST00000006662.3	942	743	4835	524.25
ENSMUST00000006311.12	3076	2877	1057.35	29.6081
ENSMUST00000009789.14	4043	3844	458.645	9.61222
ENSMUST00000004050.6	2677	2478	729.573	23.7191
ENSMUST00000006611.8	1338	1139	3956.33	279.834
ENSMUST00000007253.5	2474	2275	4036.35	142.935
ENSMUST00000006367.7	2041	1842	918.986	40.193
ENSMUST00000005810.8	2085	1886	1995.4	85.2353
ENSMUST00000006286.8	2679	2480	221.414	7.19256
ENSMUST00000005548.7	1569	1370	15059.8	885.581
ENSMUST00000006301.10	2473	2274	1167.02	41.3446
ENSMUST00000008542.11	4212	4013	1099.84	22.0796
ENSMUST00000006027.6	2852	2653	905.285	27.4903
ENSMUST00000007249.14	2261	2062	2108.32	82.3718
ENSMUST00000006391.4	3397	3198	2735.02	68.8991
ENSMUST00000019076.9	2198	1999	2683.89	108.164
ENSMUST00000017881.2	3175	2976	10199.6	276.109
ENSMUST00000021028.4	5784	5585	11448.1	165.136
ENSMUST00000019913.14	4696	4497	1861.54	33.3488
ENSMUST00000020271.12	938	739	310.911	33.894
ENSMUST00000021089.10	2307	2108	279.524	10.6827
ENSMUST00000018113.7	2107	1908	4106	173.369
ENSMUST00000020284.4	2286	2087	560.264	21.6273
ENSMUST00000020251.9	5390	5191	1114.81	17.3014
ENSMUST00000016309.15	2378	2179	1888.26	69.813
ENSMUST00000010974.8	1411	1212	1549	102.963
ENSMUST00000019791.13	6856	6657	713.886	8.63935
ENSMUST00000020301.13	4846	4647	762.53	13.2195
ENSMUST00000018918.11	1230	1031	134	10.4707
ENSMUST00000014290.14	2773	2574	549.122	17.1866
ENSMUST00000017208.4	1061	862	6795	635.058
ENSMUST00000016452.10	1732	1533	1138.92	59.8527
ENSMUST00000020399.5	5195	4996	3065.52	49.4325
ENSMUST00000020249.1	2807	2608	680.01	21.0058
ENSMUST00000013220.7	8957	8758	3681.52	33.8651
ENSMUST00000020979.8	1949	1750	333.787	15.3661
ENSMUST00000013338.13	3924	3725	866.896	18.7487
ENSMUST00000020169.8	4253	4054	594.886	11.8217
ENSMUST00000010520.9	824	625	850.006	109.565
ENSMUST00000020575.4	1955	1756	5815.89	266.822
ENSMUST00000021087.13	1372	1173	656.453	45.0855
ENSMUST00000020856.5	1871	1672	2059.46	99.2309
ENSMUST00000020911.13	3157	2958	9571.66	260.687
ENSMUST00000021082.6	858	659	499.587	61.0741
ENSMUST00000020927.9	2959	2760	1665.78	48.6229
ENSMUST00000017184.9	1960	1761	1825.82	83.5276
ENSMUST00000021090.13	2709	2510	3450.98	110.764
ENSMUST00000020223.7	2725	2526	132.863	4.23743
ENSMUST00000020522.8	3730	3531	2391	54.5523
ENSMUST00000022709.5	2087	1888	216.624	9.24347
