target_id	length	eff_length	est_counts	tpm
ENSMUST00000000033.11	3708	3509	40976.9	349.98
ENSMUST00000000153.8	3416	3217	2778	25.8803
ENSMUST00000000253.5	2840	2641	505.263	5.73372
ENSMUST00000000260.12	1580	1381	930.958	20.2034
ENSMUST00000000348.14	1594	1395	2332.46	50.1103
ENSMUST00000000312.11	4430	4231	8027.48	56.8622
ENSMUST00000000395.7	3161	2962	1298.38	13.1373
ENSMUST00000000500.7	2944	2745	511.284	5.58223
ENSMUST00000000896.10	2789	2590	503.399	5.82506
ENSMUST00000000608.7	4127	3928	13659	104.216
ENSMUST00000000924.12	2288	2089	887.738	12.736
ENSMUST00000000543.5	2033	1834	565.7	9.2443
ENSMUST00000001055.14	1282	1083	284.327	7.86823
ENSMUST00000000809.2	2928	2729	757	8.31342
ENSMUST00000001547.7	5930	5731	5531.8	28.9283
ENSMUST00000001507.4	3931	3732	1858.05	14.9212
ENSMUST00000001126.3	1978	1779	1382.5	23.2904
ENSMUST00000001595.9	2584	2385	742.348	9.32839
ENSMUST00000001347.6	1394	1195	5294.83	132.792
ENSMUST00000001226.10	2375	2176	452.663	6.23453
ENSMUST00000001812.4	3779	3580	649.012	5.43322
ENSMUST00000001242.8	1378	1179	1597.99	40.6206
ENSMUST00000001583.7	4382	4183	1374.56	9.84832
ENSMUST00000002457.1	2940	2741	1507.93	16.4877
ENSMUST00000002127.13	1329	1130	2729.11	72.3819
ENSMUST00000002084.13	3648	3449	1172.86	10.1916
ENSMUST00000003622.15	1666	1467	945.296	19.3119
ENSMUST00000002678.9	2175	1976	1004.13	15.2296
ENSMUST00000003038.11	4646	4447	8727.15	58.8156
ENSMUST00000003433.10	3065	2866	3839.6	40.1511
ENSMUST00000003828.10	2195	1996	960.37	14.42
ENSMUST00000003061.13	2429	2230	577.773	7.76497
ENSMUST00000002303.11	1202	1003	2707.69	80.9068
ENSMUST00000002518.8	1411	1212	1486.54	36.7588
ENSMUST00000003687.7	3383	3184	804.567	7.57315
ENSMUST00000003436.11	1468	1269	2545	60.1054
ENSMUST00000007444.13	2099	1900	720.225	11.3606
ENSMUST00000006392.2	3253	3054	9649.81	94.6972
ENSMUST00000006397.6	1761	1562	388.055	7.44561
ENSMUST00000006749.9	4545	4346	4071	28.0736
ENSMUST00000009707.13	1536	1337	2373.98	53.2149
ENSMUST00000005019.5	931	732	114	4.66747
ENSMUST00000009530.4	833	634	542.6	25.6494
ENSMUST00000004622.6	6168	5969	1789.63	8.98562
ENSMUST00000006362.3	1010	811	34549.7	1276.76
ENSMUST00000004968.10	3280	3081	3251.37	31.6273
ENSMUST00000006523.11	445	246	510.322	62.1723
ENSMUST00000004990.13	3562	3363	1302.37	11.6063
ENSMUST00000004684.12	5271	5072	1379.42	8.15089
ENSMUST00000004913.6	1582	1383	513.672	11.1314
