target_id	length	eff_length	est_counts	tpm
ENSMUST00000000033.11	3708	3509	47250	504.978
ENSMUST00000000153.8	3416	3217	2624.23	30.5917
ENSMUST00000000253.5	2840	2641	500.956	7.11353
ENSMUST00000000260.12	1580	1381	590.188	16.0269
ENSMUST00000000348.14	1594	1395	1826.12	49.0919
ENSMUST00000000312.11	4430	4231	8733.35	77.4091
ENSMUST00000000395.7	3161	2962	1405.59	17.7963
ENSMUST00000000500.7	2944	2745	523.116	7.14677
ENSMUST00000000896.10	2789	2590	560.907	8.12166
ENSMUST00000000608.7	4127	3928	13811	131.858
ENSMUST00000000924.12	2288	2089	1087.78	19.528
ENSMUST00000000543.5	2033	1834	424.207	8.67427
ENSMUST00000001055.14	1282	1083	266.659	9.23383
ENSMUST00000000809.2	2928	2729	561	7.70927
ENSMUST00000001547.7	5930	5731	13255.8	86.7422
ENSMUST00000001507.4	3931	3732	2544.6	25.5701
ENSMUST00000001126.3	1978	1779	1795.52	37.8502
ENSMUST00000001595.9	2584	2385	814.972	12.8147
ENSMUST00000001347.6	1394	1195	5164.72	162.081
ENSMUST00000001226.10	2375	2176	296.81	5.11533
ENSMUST00000001812.4	3779	3580	654.239	6.85343
ENSMUST00000001242.8	1378	1179	1376.41	43.7812
ENSMUST00000001583.7	4382	4183	1488.39	13.3439
ENSMUST00000002457.1	2940	2741	1084.86	14.8429
ENSMUST00000002127.13	1329	1130	2438.29	80.921
ENSMUST00000002084.13	3648	3449	1399.16	15.2135
ENSMUST00000003622.15	1666	1467	788.673	20.1614
ENSMUST00000002678.9	2175	1976	835	15.8472
ENSMUST00000003038.11	4646	4447	7710.79	65.0258
ENSMUST00000003433.10	3065	2866	3428.83	44.8667
ENSMUST00000003828.10	2195	1996	1539.04	28.9163
ENSMUST00000003061.13	2429	2230	775.122	13.0352
ENSMUST00000002303.11	1202	1003	2228.43	83.3207
ENSMUST00000002518.8	1411	1212	1050.21	32.4959
ENSMUST00000003687.7	3383	3184	978.229	11.5218
ENSMUST00000003436.11	1468	1269	1663	49.1456
ENSMUST00000007444.13	2099	1900	501.628	9.90107
ENSMUST00000006392.2	3253	3054	11094.8	136.24
ENSMUST00000006397.6	1761	1562	319	7.65885
ENSMUST00000006749.9	4545	4346	3361.43	29.0061
ENSMUST00000009707.13	1536	1337	2286.29	64.1288
ENSMUST00000005019.5	931	732	108	5.53308
ENSMUST00000009530.4	833	634	249.753	14.7732
ENSMUST00000004622.6	6168	5969	2037.7	12.8024
ENSMUST00000006362.3	1010	811	31367.7	1450.49
ENSMUST00000004968.10	3280	3081	2822.48	34.3553
ENSMUST00000006523.11	445	246	372.764	56.8267
ENSMUST00000004990.13	3562	3363	847.991	9.45623
ENSMUST00000004684.12	5271	5072	1327.93	9.81858
ENSMUST00000004913.6	1582	1383	1195.83	32.4265
ENSMUST00000005406.11	3176	2977	1232.05	15.5205
ENSMUST00000009058.9	4306	4107	1363.87	12.4538
ENSMUST00000005749.5	4300	4101	4409.32	40.3214
ENSMUST00000009234.15	4085	3886	4574.02	44.1417
ENSMUST00000004745.8	1847	1648	2257.33	51.368
ENSMUST00000004959.2	1662	1463	266.254	6.82504
ENSMUST00000004892.6	595	396	724.005	68.5647
ENSMUST00000010451.7	1831	1632	228	5.23924
ENSMUST00000020617.2	6255	6056	2476.47	15.3356
ENSMUST00000018755.9	1182	983	455.73	17.3863
ENSMUST00000016664.7	4557	4358	1710.06	14.7156
ENSMUST00000015585.3	894	695	1085.49	58.5729
ENSMUST00000018713.12	1335	1136	1494.18	49.3265
ENSMUST00000019044.7	3062	2863	1862.98	24.4029
ENSMUST00000013304.7	1629	1430	3913.35	102.628
ENSMUST00000020662.14	4856	4657	2859.02	23.0232
ENSMUST00000020531.8	801	602	24383.7	1519
ENSMUST00000018821.8	1685	1486	1744.02	44.0137
ENSMUST00000020647.9	1142	943	150.976	6.00412
ENSMUST00000018002.12	2248	2049	469.749	8.59761
ENSMUST00000017841.3	1688	1489	4258.56	107.256
ENSMUST00000020643.3	2688	2489	461	6.94592
ENSMUST00000018743.4	2522	2323	456.743	7.37355
ENSMUST00000020478.13	3422	3223	469.339	5.4611
ENSMUST00000010941.5	2255	2056	320	5.83688
ENSMUST00000020721.14	3335	3136	3732.39	44.634
ENSMUST00000018186.15	2422	2223	2829.74	47.7377
ENSMUST00000020524.14	2946	2747	1248.82	17.0488
ENSMUST00000020081.10	1834	1635	9586.73	219.891
ENSMUST00000017783.12	7156	6957	1975.9	10.6512
ENSMUST00000020904.7	7644	7445	3682.86	18.5513
ENSMUST00000018361.9	1800	1601	807	18.9032
ENSMUST00000018012.13	2693	2494	414.996	6.24025
ENSMUST00000017867.9	849	650	1229.68	70.9467
ENSMUST00000013633.11	2329	2130	314.797	5.54248
ENSMUST00000016781.7	1013	814	234.87	10.8207
ENSMUST00000020217.6	3210	3011	4452	55.4496
ENSMUST00000015578.4	909	710	3139.26	165.815
ENSMUST00000010807.5	3460	3261	1066.49	12.2648
ENSMUST00000018610.6	4192	3993	1898.85	17.8338
ENSMUST00000020982.6	4086	3887	1149	11.0856
ENSMUST00000019386.9	3591	3392	726	8.02666
ENSMUST00000019050.11	2230	2031	672.352	12.4148
ENSMUST00000014743.9	4176	3977	895.69	8.4461
